TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-04-13 18:00:00,2022-04-13,18,0.030000000000000717,0.0027777777777777783,0.0011691716764253115,0.0037935603451259296,0.002950546935097945,0.002950546935097945,0.0040999999999999925,0,0.1057388888888899,0.08156915505042396,0.428665925514173,0.0037935603451259296,0.7009777777777679,0.0037935603451259296
2022-04-13 18:15:00,2022-04-13,18,0.02974444444444515,0.0027777777777777783,0.0011691716764253115,0.0037935603451259296,0.002950546935097945,0.002950546935097945,0.0041,15,0.030000000000000717,0.0037935603451259296,0.1057388888888899,0.0037935603451259296,0.428665925514173,0.0037935603451259296
2022-04-13 18:30:00,2022-04-13,18,0.029994444444445163,0.0027777777777777783,0.0011691716764253115,0.0037935603451259296,0.002950546935097945,0.002950546935097945,0.0041,30,0.02974444444444515,0.0037935603451259296,0.030000000000000717,0.0037935603451259296,0.1057388888888899,0.0037935603451259296
2022-04-13 18:45:00,2022-04-13,18,0.029922222222222933,0.0027777777777777783,0.0011691716764253115,0.0037935603451259296,0.002950546935097945,0.002950546935097945,0.0041,45,0.029994444444445163,0.0037935603451259296,0.02974444444444515,0.0037935603451259296,0.030000000000000717,0.0
2022-04-13 19:00:00,2022-04-13,19,0.029988888888889606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029922222222222933,0.0037935603451259296,0.029994444444445163,0.0,0.02974444444444515,0.0
2022-04-13 19:15:00,2022-04-13,19,0.029988888888889606,0.0,0.0,0.0,0.0,0.0,0.0,15,0.029988888888889606,0.0,0.029922222222222933,0.0,0.029994444444445163,0.0
2022-04-13 19:30:00,2022-04-13,19,0.029977777777778495,0.0,0.0,0.0,0.0,0.0,0.0,30,0.029988888888889606,0.0,0.029988888888889606,0.0,0.029922222222222933,0.0
2022-04-13 19:45:00,2022-04-13,19,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,45,0.029977777777778495,0.0,0.029988888888889606,0.0,0.029988888888889606,0.0
2022-04-13 20:00:00,2022-04-13,20,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000717,0.0,0.029977777777778495,0.0,0.029988888888889606,0.0
2022-04-13 20:15:00,2022-04-13,20,0.029955555555556262,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000717,0.0,0.030000000000000717,0.0,0.029977777777778495,0.0
2022-04-13 20:30:00,2022-04-13,20,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,30,0.029955555555556262,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 20:45:00,2022-04-13,20,0.029900000000000714,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000717,0.0,0.029955555555556262,0.0,0.030000000000000717,0.0
2022-04-13 21:00:00,2022-04-13,21,0.02961666666666737,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029900000000000714,0.0,0.030000000000000717,0.0,0.029955555555556262,0.0
2022-04-13 21:15:00,2022-04-13,21,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,15,0.02961666666666737,0.0,0.029900000000000714,0.0,0.030000000000000717,0.0
2022-04-13 21:30:00,2022-04-13,21,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000717,0.0,0.02961666666666737,0.0,0.029900000000000714,0.0
2022-04-13 21:45:00,2022-04-13,21,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000717,0.0,0.030000000000000717,0.0,0.02961666666666737,0.0
2022-04-13 22:00:00,2022-04-13,22,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 22:15:00,2022-04-13,22,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 22:30:00,2022-04-13,22,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 22:45:00,2022-04-13,22,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 23:00:00,2022-04-13,23,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 23:15:00,2022-04-13,23,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 23:30:00,2022-04-13,23,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-13 23:45:00,2022-04-13,23,0.030000000000000717,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000717,0.0,0.030000000000000717,0.0,0.030000000000000717,0.0
2022-04-14 00:00:00,2022-04-14,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-14 00:15:00,2022-04-14,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.0,0.0,0.0,0.0
2022-04-14 00:30:00,2022-04-14,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.0,0.0
2022-04-14 00:45:00,2022-04-14,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 01:00:00,2022-04-14,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.01217,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 01:15:00,2022-04-14,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.01217,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 01:30:00,2022-04-14,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.01217,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 01:45:00,2022-04-14,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.01217,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
