TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(TWC),Radiation(SDv3)(OWM),Radiation(SDv3)(MSM),Radiation(today)(CWB),Radiation(today)(IBM),Radiation(today)(OWM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-08-23 01:15:00,2022-08-23,1,0.02827586206896556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.029977777777778068,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-23 01:30:00,2022-08-23,1,0.02674082313681871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.02827586206896556,0.0,0.029977777777778068,0.0,0.030000000000000294,0.0
2022-08-23 01:45:00,2022-08-23,1,0.027333333333333383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.02674082313681871,0.0,0.02827586206896556,0.0,0.029977777777778068,0.0
2022-08-23 02:00:00,2022-08-23,2,0.02872222222222238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027333333333333383,0.0,0.02674082313681871,0.0,0.02827586206896556,0.0
2022-08-23 02:15:00,2022-08-23,2,0.028033333333333483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.02872222222222238,0.0,0.027333333333333383,0.0,0.02674082313681871,0.0
2022-08-23 02:30:00,2022-08-23,2,0.02854282536151298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.028033333333333483,0.0,0.02872222222222238,0.0,0.027333333333333383,0.0
2022-08-23 02:45:00,2022-08-23,2,0.028788888888889107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.02854282536151298,0.0,0.028033333333333483,0.0,0.02872222222222238,0.0
2022-08-23 03:00:00,2022-08-23,3,0.02952222222222247,0.0,0.0,0.0,0.0,0.0,0.00396,0.0,0.0,0.0,0,0.028788888888889107,0.0,0.02854282536151298,0.0,0.028033333333333483,0.0
2022-08-23 03:15:00,2022-08-23,3,0.029688888888889143,0.0,0.0,0.0,0.0,0.0,0.00396,0.0,0.0,0.0,15,0.02952222222222247,0.0,0.028788888888889107,0.0,0.02854282536151298,0.0
2022-08-23 03:30:00,2022-08-23,3,0.02975555555555583,0.0,0.0,0.0,0.0,0.0,0.00396,0.0,0.0,0.0,30,0.029688888888889143,0.0,0.02952222222222247,0.0,0.028788888888889107,0.0
