,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
1917,2022-06-19,14,8.993827777777788,59.98164999999995,226.39188333333394,6.068180555555536,0.6874944444444355,2022-06-19 14:00:00
1918,2022-06-19,15,7.2341277777777755,60.016566666666876,226.70725277777805,4.881750000000009,0.598938888888863,2022-06-19 15:00:00
1919,2022-06-19,16,3.649891666666661,59.992883333333374,226.94511666666682,2.443777777777769,0.4460722222222558,2022-06-19 16:00:00
1920,2022-06-19,17,1.3957666666666955,59.98249444444456,225.55701944444488,0.8914555555555403,0.31101388888887377,2022-06-19 17:00:00
1921,2022-06-19,18,0.7643027777777923,59.970997222222316,226.20129722222217,0.17306666666665346,0.4450111111111005,2022-06-19 18:00:00
1922,2022-06-19,19,0.7753555555555746,59.94888333333337,225.54443333333296,0.028291666666667447,0.524402777777759,2022-06-19 19:00:00
1923,2022-06-19,20,0.7774638888889179,59.95886666666652,225.96272500000012,0.02982777777777869,0.5266305555555348,2022-06-19 20:00:00
1924,2022-06-19,21,0.7801055555555914,60.00257777777784,226.88525555555566,0.029994444444445365,0.5301388888888654,2022-06-19 21:00:00
1925,2022-06-19,22,0.7790416666666973,60.04703333333323,225.86014444444504,0.02999166666666759,0.5265416666666464,2022-06-19 22:00:00
1926,2022-06-19,23,0.7777000000000249,60.070986111110976,225.25949722222262,0.030000000000000925,0.5240638888888706,2022-06-19 23:00:00
1927,2022-06-20,0,0.7796055555555911,59.999647222222315,226.05037500000046,0.02975277777777867,0.5277194444444229,2022-06-20 00:00:00
1928,2022-06-20,1,0.7806305555555887,60.025555555555584,226.9892444444441,0.029986111111112032,0.5306361111110874,2022-06-20 01:00:00
1929,2022-06-20,2,0.7820611111111176,60.039763888888864,227.32282499999948,0.029994444444445368,0.5324249999999748,2022-06-20 02:00:00
1930,2022-06-20,3,0.7783472222222529,60.00693611111101,225.71115833333377,0.02983333333333425,0.5264555555555348,2022-06-20 03:00:00
1931,2022-06-20,4,0.7794194444444699,60.06921944444441,225.9538333333331,0.029475000000000785,0.5281861111110892,2022-06-20 04:00:00
1932,2022-06-20,5,0.7739138888888819,59.93470833333344,224.2820166666668,0.023852777777777712,0.5202277777777627,2022-06-20 05:00:00
1933,2022-06-20,6,2.0256249999999976,59.955155555555486,222.97780277777764,1.273813888888899,0.327805555555552,2022-06-20 06:00:00
1934,2022-06-20,7,5.052330555555561,59.954994444444566,222.86875277777804,3.334294444444444,0.4950888888888951,2022-06-20 07:00:00
1935,2022-06-20,8,7.808049999999997,60.014952777777836,223.2155638888893,5.183566666666647,0.6872166666666643,2022-06-20 08:00:00
1936,2022-06-20,9,9.130316666666669,60.02407777777763,223.78468888888887,6.076069444444443,0.761302777777771,2022-06-20 09:00:00
1937,2022-06-20,10,9.772144444444471,59.993211111111115,223.69022777777806,6.503816666666667,0.818416666666669,2022-06-20 10:00:00
1938,2022-06-20,11,10.584602777777786,59.97406388888886,222.8400833333338,7.012522222222237,0.9457055555555521,2022-06-20 11:00:00
1939,2022-06-20,12,10.952658333333328,59.97405833333333,223.66413888888886,7.282194444444459,1.002822222222221,2022-06-20 12:00:00
1940,2022-06-20,13,10.254824999999968,59.95940555555551,223.30474999999944,6.7997833333333135,0.9851999999999954,2022-06-20 13:00:00
