index,expDate,model,domain,level,variable,lat,lng,obsDay,fHour,data,TIME_TO_INTERVAL,hour,date,Date,ForecastBeforeDays
2021042108,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,608.86,2021-04-21 08:0:00,8,2021-04-21,2021-04-21,-1 days
2021042109,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,799.63,2021-04-21 09:0:00,9,2021-04-21,2021-04-21,-1 days
2021042110,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,933.58,2021-04-21 10:0:00,10,2021-04-21,2021-04-21,-1 days
2021042111,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1006.65,2021-04-21 11:0:00,11,2021-04-21,2021-04-21,-1 days
2021042112,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1010.7,2021-04-21 12:0:00,12,2021-04-21,2021-04-21,-1 days
2021042113,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,937.64,2021-04-21 13:0:00,13,2021-04-21,2021-04-21,-1 days
2021042114,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,807.75,2021-04-21 14:0:00,14,2021-04-21,2021-04-21,-1 days
2021042115,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,621.04,2021-04-21 15:0:00,15,2021-04-21,2021-04-21,-1 days
2021042116,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,393.73,2021-04-21 16:0:00,16,2021-04-21,2021-04-21,-1 days
2021042117,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,154.24,2021-04-21 17:0:00,17,2021-04-21,2021-04-21,-1 days
2021042118,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,8.12,2021-04-21 18:0:00,18,2021-04-21,2021-04-21,-1 days
